,abstract,doi
0,Brain vasculature is a complex and interconnected network under tight regulatory  control that exists in intimate communication with neurons and glia. Typically hemodynamics are considered to exclusively serve as a metabolic support system. In contrast to this canonical view we propose that hemodynamics also play a role in information processing through modulation of neural activity. Functional hyperemia the basis of the functional MRI (fMRI) BOLD signal is a localized influx of blood correlated with neural activity levels. Functional hyperemia is considered by many to be excessive from a metabolic standpoint but may be appropriate if interpreted as having an activity-dependent neuro-modulatory function. Hemodynamics may impact neural activity through direct and indirect mechanisms. Direct mechanisms include delivery of diffusible blood-borne messengers and mechanical and thermal modulation of neural activity. Indirect mechanisms are proposed to act through hemodynamic modulation of astrocytes which can in turn regulate neural activity. These hemo-neural mechanisms should alter the information processing capacity of active local neural networks. Here  we focus on analysis of neocortical sensory processing. We predict that hemodynamics alter the gain of local cortical circuits modulating the detection  and discrimination of sensory stimuli. This novel view of information processing-that includes hemodynamics as an active and significant participant-has implications for understanding neural representation and the construction of accurate brain models. There are also potential medical benefits  of an improved understanding of the role of hemodynamics in neural processing as it directly bears on interpretation of and potential treatment for stroke dementia and epilepsy.,10.1152/jn.01366.2006
0,"Frontal neocortex is thought to support our highest intellectual abilities including our ability to plan and enact a sequence of tasks toward a desired goal. In everyday life such task sequences are abstract in that they do not require consistent movement sequences and are often assembled ""on the fly."" Yet  remarkably little is known about the necessity of frontal sub-regions for such control. Participants repeatedly completed sequences of simple tasks during fMRI  scanning. Rostrolateral prefrontal cortex (RLPFC) activation ramped over sequence position and reset at the initiation of each new sequence. To establish the necessity and function of RLPFC in this task participants performed the sequential task while undergoing transcranial magnetic stimulation (TMS) of the RLPFC versus two prefrontal control regions. Across two independent experiments  only RLPFC stimulation increasingly disrupted task performance as each sequence progressed. These data establish RLPFC as necessary for uncertainty resolution during sequence-level control.",10.1016/j.neuron.2015.08.026
0,Synchronous recruitment of fast-spiking (FS) parvalbumin (PV) interneurons generates gamma oscillations rhythms that emerge during performance of cognitive tasks. Administration of N-methyl-D-aspartate (NMDA) receptor antagonists alters  gamma rhythms and can induce cognitive as well as psychosis-like symptoms in humans. The disruption of NMDA receptor (NMDAR) signaling specifically in FS PV interneurons is therefore hypothesized to give rise to neural network dysfunction that could underlie these symptoms. To address the connection between NMDAR activity FS PV interneurons gamma oscillations and behavior we generated mice  lacking NMDAR neurotransmission only in PV cells (PV-Cre/NR1f/f mice). Here we show that mutant mice exhibit enhanced baseline cortical gamma rhythms impaired  gamma rhythm induction after optogenetic drive of PV interneurons and reduced sensitivity to the effects of NMDAR antagonists on gamma oscillations and stereotypies. Mutant mice show largely normal behaviors except for selective cognitive impairments including deficits in habituation working memory and associative learning. Our results provide evidence for the critical role of NMDAR in PV interneurons for expression of normal gamma rhythms and specific cognitive  behaviors.,10.1038/mp.2011.31
0,Two general classes of hypotheses for the role for gamma oscillations in sensation are those that predict gamma facilitates signal amplification through local synchronization of a distinct ensemble and those that predict gamma modulates fine temporal relationships between neurons to represent information. Correlative evidence has been offered for and against these hypotheses. A recent  study in which gamma was optogenetically entrained by driving fast-spiking interneurons showed enhanced sensory detection of harder-to-perceive stimuli those that benefit most from attention in agreement with the amplification hypotheses. These findings are supported by similar studies employing less specific optogenetic patterns or single neuron stimulation but contrast with findings based on direct optogenetic stimulation of pyramidal neurons. Key next steps for this topic are described.,10.1016/j.conb.2015.02.004
0,Many procedures in modern clinical medicine rely on the use of electronic implants in treating conditions that range from acute coronary events to traumatic injury. However standard permanent electronic hardware acts as a nidus for infection: bacteria form biofilms along percutaneous wires or seed haematogenously with the potential to migrate within the body and to provoke immune-mediated pathological tissue reactions. The associated surgical retrieval  procedures meanwhile subject patients to the distress associated with re-operation and expose them to additional complications. Here we report materials device architectures integration strategies and in vivo demonstrations in rats of implantable multifunctional silicon sensors for the brain for which all of the constituent materials naturally resorb via hydrolysis and/or metabolic action eliminating the need for extraction. Continuous monitoring of intracranial pressure and temperature illustrates functionality essential to the treatment of traumatic brain injury; the measurement performance of our resorbable devices compares favourably with that of non-resorbable clinical standards. In our experiments insulated percutaneous wires connect to an externally mounted miniaturized wireless potentiostat for data transmission.  In a separate set-up we connect a sensor to an implanted (but only partially resorbable) data-communication system proving the principle that there is no need for any percutaneous wiring. The devices can be adapted to sense fluid flow motion pH or thermal characteristics in formats that are compatible with the body's abdomen and extremities as well as the deep brain suggesting that the sensors might meet many needs in clinical medicine.,10.1038/nature16492
0,Several studies in patients with schizophrenia reported a marked reduction in sleep spindle activity. To investigate whether the reduction may be linked to genetic risk of the illness we analysed sleep spindle activity in healthy volunteers patients with schizophrenia and first-degree relatives who share an  enriched set of schizophrenia susceptibility genes. We further investigated the correlation of spindle activity with cognitive function in first-degree relatives and whether spindle abnormalities affect both fast (12-15 Hz) and slow (9-12 Hz)  sleep spindles. We investigated fast and slow sleep spindle activity during non-rapid eye movement sleep in a total of 47 subjects comprising 17 patients with schizophrenia 13 healthy first-degree relatives and 17 healthy volunteers.  Groups were balanced for age gender years of education and estimated verbal IQ. A subsample of relatives received additional testing for memory performance. Compared to healthy volunteers fast spindle density was reduced in patients with schizophrenia and healthy first-degree relatives following a pattern consistent with an assumed genetic load for schizophrenia. The deficit in spindle density was specific to fast spindles and was associated with decreased memory performance. Our findings indicate familial occurrence of this phenotype and thus support the hypothesis that deficient spindle activity relates to genetic liability for schizophrenia. Furthermore spindle reductions predict impaired cognitive function and are specific to fast spindles. This physiological marker should be further investigated as an intermediate phenotype of schizophrenia. It  could also constitute a target for drug development especially with regard to cognitive dysfunction.,10.1007/s00406-016-0725-2
0,Corticothalamic neurons provide massive input to the thalamus. This top-down projection may allow the cortex to regulate sensory processing by modulating the  excitability of thalamic cells. Layer 6 corticothalamic neurons monosynaptically  excite thalamocortical cells but also indirectly inhibit them by driving inhibitory cells of the thalamic reticular nucleus. Whether corticothalamic activity generally suppresses or excites the thalamus remains unclear. Here we show that the corticothalamic influence is dynamic with the excitatory-inhibitory balance shifting in an activity-dependent fashion. During low-frequency activity corticothalamic effects are mainly suppressive whereas higher-frequency activity (even a short bout of gamma frequency oscillations) converts the corticothalamic influence to enhancement. The mechanism of this switching depends on distinct forms of short-term synaptic plasticity across multiple corticothalamic circuit components. Our results reveal an activity-dependent mechanism by which corticothalamic neurons can bidirectionally switch the excitability and sensory throughput of the thalamus possibly to meet  changing behavioral demands.,10.1016/j.neuron.2015.03.040
0,Sensory regions of the brain integrate environmental cues with copies of motor-related signals important for imminent and ongoing movements. In mammals signals propagating from the motor cortex to the auditory cortex are thought to have a critical role in normal hearing and behaviour yet the synaptic and circuit mechanisms by which these motor-related signals influence auditory cortical activity remain poorly understood. Using in vivo intracellular recordings in behaving mice we find that excitatory neurons in the auditory cortex are suppressed before and during movement owing in part to increased activity of local parvalbumin-positive interneurons. Electrophysiology and optogenetic gain- and loss-of-function experiments reveal that motor-related changes in auditory cortical dynamics are driven by a subset of neurons in the secondary motor cortex that innervate the auditory cortex and are active during movement. These findings provide a synaptic and circuit basis for the motor-related corollary discharge hypothesized to facilitate hearing and auditory-guided behaviours.,10.1038/nature13724
0,Over a century of scientific work has focused on defining the factors motivating  behavioral learning. Observations in animals and humans trained on a wide range of tasks support reinforcement learning (RL) algorithms as accounting for the learning. Still unknown however are the signals that drive learning in naive untrained subjects. Here we capitalized on a sequential saccade task in which macaque monkeys acquired repetitive scanning sequences without instruction. We found that spike activity in the caudate nucleus after each trial corresponded to an integrated cost-benefit signal that was highly correlated with the degree of naturalistic untutored learning by the monkeys. Across learning neurons encoding both cost and outcome gradually acquired increasingly sharp phasic trial-end responses that paralleled the development of the habit-like repetitive saccade sequences. Our findings demonstrate an integrated cost-benefit signal by which RL and its neural correlates could drive naturalistic behaviors in freely behaving primates.,10.1016/j.neuron.2015.07.019
0,Most aquatic vertebrates use suction to capture food relying on rapid expansion  of the mouth cavity to accelerate water and food into the mouth. In ray-finned fishes mouth expansion is both fast and forceful and therefore requires considerable power. However the cranial muscles of these fishes are relatively small and may not be able to produce enough power for suction expansion. The axial swimming muscles of these fishes also attach to the feeding apparatus and have the potential to generate mouth expansion. Because of their large size these axial muscles could contribute substantial power to suction feeding. To determine whether suction feeding is powered primarily by axial muscles we measured the power required for suction expansion in largemouth bass and compared it to the power capacities of the axial and cranial muscles. Using X-ray reconstruction of moving morphology (XROMM) we generated 3D animations of the mouth skeleton and created a dynamic digital endocast to measure the rate of mouth volume expansion. This time-resolved expansion rate was combined with intraoral pressure recordings to calculate the instantaneous power required for suction feeding. Peak expansion powers for all but the weakest strikes far exceeded the maximum power capacity of the cranial muscles. The axial muscles did not merely contribute but were the primary source of suction expansion power and  generated up to 95% of peak expansion power. The recruitment of axial muscle power may have been crucial for the evolution of high-power suction feeding in ray-finned fishes.,10.1073/pnas.1508055112
