"","create_date","version_id","user_id","manuscript_id","manuscript_DOI","actionability","concreteness_confidence","discovery_value","expertise"
"1",2017-07-13 20:18:00,2,1,275,"10.1038/nature22073",0.38,0.61,0.07,2.49
"2",2017-07-13 19:54:00,2,1,331,"10.1038/nn.4464",2.46,5,4.22,3.92
"3",2017-07-13 19:55:00,2,1,332,"10.1038/nature14622",0.16,1.95,0.07,4.15
"4",2017-07-13 19:56:00,2,1,333,"10.1038/nature03721",3.5,2.73,4.66,3.57
"5",2017-07-13 19:57:00,2,1,334,"10.1038/nn.3909",3.04,4.38,3.33,3.62
"6",2017-07-13 19:58:00,2,1,336,"10.1002/hipo.450030307",4.03,5,4.81,4.3
"7",2017-07-13 20:00:00,2,1,338,"10.1016/j.cell.2015.12.040",1.85,1.05,1.24,2.09
"8",2017-07-13 20:03:00,2,1,339,"10.1016/s0306-4522(97)00049-3",5,4.18,2.59,3.38
"9",2017-07-13 20:04:00,2,1,340,"10.1038/nn.4110",0.76,0.66,1.71,3.39
"10",2017-07-13 20:08:00,2,1,342,"10.1016/0006-8993(71)90358-1",4.23,3.57,5,3.36
"11",2017-07-13 20:08:00,2,1,343,"10.1038/nature01834",4.22,2.84,3.9,3.39
"12",2017-07-13 20:10:00,2,1,345,"10.1038/381520a0",4.68,5,5,1.95
"13",2017-07-13 20:13:00,2,1,346,"10.1038/nature00807",4.2,1.02,2.5,3.28
"14",2017-07-13 20:14:00,2,1,348,"10.1006/nlme.1998.3843",3.83,3.39,2.28,3.48
"15",2017-07-13 20:16:00,2,1,349,"10.1038/nature15398",1.28,0.23,0.55,2.13
"16",2017-07-13 20:22:00,2,1,351,"10.1038/nn.2337",1.75,4.6,3.23,3.17
"17",2017-07-13 20:24:00,2,1,352,"10.1113/jphysiol.1962.sp006837",4.56,5,4.58,1.33
"18",2017-07-13 20:25:00,2,1,353,"10.1038/nn.4058",3.08,5,3.33,1.71
"19",2017-07-13 20:28:00,2,1,354,"10.1126/science.1135801",2.65,0.95,0.86,3.39
"20",2017-07-13 20:30:00,2,1,355,"10.1126/science.aam6808",1.93,3.31,2.53,2.81
"21",2017-08-11 14:52:00,2,1,419,"10.1038/nn.4613",0,3.85,0.05,2.49
"22",2016-12-15 15:08:00,1,4,80,"10.1016/j.neuint.2011.04.002",2.31,2.99,2.42,2.25
"23",2017-04-11 17:51:00,1,7,220,"10.1038/nn.4173",3.3,2.67,4.05,2.58
"24",2017-04-11 17:55:00,1,7,248,"10.1126/science.aaf0902",2.72,3.07,3.87,2.49
"25",2017-04-11 17:57:00,1,7,249,"10.1038/nn.4223",2.76,3.2,3.88,2.62
"26",2017-04-11 18:02:00,1,7,251,"10.1016/j.tins.2012.04.008",2.79,2.99,4.1,1.91
"27",2017-04-14 18:34:00,1,7,256,"10.1523/jneurosci.2507-16.2016",3.05,3.04,2.55,2.38
"28",2017-07-21 16:08:00,2,8,361,"10.1073/pnas.1406077111",5,2.06,3.44,4.19
"29",2016-12-15 19:20:00,1,9,100,"10.1002/wrna.1386",2.63,2.4,2.64,2.59
"30",2016-12-19 17:23:00,1,10,103,"10.1016/j.cell.2016.09.025",2.96,3.38,4.09,4.28
"31",2016-12-19 17:24:00,1,10,104,"10.1038/ng.3694",2.97,3.11,2.49,5
"32",2016-12-19 17:25:00,1,10,105,"10.1016/j.molcel.2016.10.025",3.23,4.06,3.77,2.73
"33",2016-12-19 17:25:00,1,10,106,"10.1038/srep35815",2.74,2.79,3.37,4.54
"34",2016-12-19 17:26:00,1,10,107,"10.1158/1078-0432.ccr-14-1566",3.08,2.53,3.72,5
"35",2016-12-19 21:02:00,1,10,108,"10.1371/journal.pone.0151845",2.92,3.98,2.91,2.88
"36",2016-12-30 15:38:00,1,10,120,"10.1126/scitranslmed.aag1298",3,2.8,3.43,1.95
"37",2016-12-30 16:03:00,1,10,121,"10.1126/science.aah5234",2.55,2.13,3.73,0.9
"38",2017-05-02 13:10:00,1,10,126,"10.1371/journal.pone.0164644",2.77,2.84,2.95,2.89
"39",2017-05-02 13:09:00,1,10,270,"10.1038/srep44061",3.24,1.88,3.9,3.5
