"","create_date","version_id","user_id","manuscript_id","manuscript_DOI","actionability","concreteness_confidence","discovery_value","expertise","abstract","url","year","AltScore","abstract_nchar","abstract_num_digits","abstract_has_digits","abstract_findings_results","dv_words","act_words","con_words"
"1","2017-07-13 20:18:00","2",1,275,"10.1038/nature22073",0.38,0.61,0.07,2.49,"Although interactions between the thalamus and cortex are critical for cognitive  function the exact contribution of the thalamus to these interactions remains unclear. Recent studies have shown diverse connectivity patterns across the thalamus but whether this diversity translates to thalamic functions beyond relaying information to or between cortical regions is unknown. Here we show by  investigating the representation of two rules used to guide attention in the mouse prefrontal cortex (PFC) that the mediodorsal thalamus sustains these representations without relaying categorical information. Specifically mediodorsal input amplifies local PFC connectivity enabling rule-specific neural sequences to emerge and thereby maintain rule representations. Consistent with this notion broadly enhancing PFC excitability diminishes rule specificity and behavioural performance whereas enhancing mediodorsal excitability improves both. Overall our results define a previously unknown principle in neuroscience; thalamic control of functional cortical connectivity. This function which is dissociable from categorical information relay indicates that the thalamus has a much broader role in cognition than previously thought.","https://www.ncbi.nlm.nih.gov/pubmed/?term=10.1038%2Fnature22073&report=abstract&format=text","2017",1132.002,1225,0,FALSE,1,0,4,0
"2","2017-07-13 19:54:00","2",1,331,"10.1038/nn.4464",2.46,5,4.22,3.92,"Flexible navigation demands knowledge of boundaries routes and their relationships. Within a multi-path environment a subpopulation of subiculum neurons robustly encoded the axis of travel. The firing of axis-tuned neurons peaked bimodally at head orientations 180° apart. Environmental manipulations showed these neurons to be anchored to environmental boundaries but to lack axis  tuning in an open arena. Axis-tuned neurons thus provide a powerful mechanism for mapping relationships between routes and the larger environmental context.","https://www.ncbi.nlm.nih.gov/pubmed/?term=10.1038%2Fnn.4464&report=abstract&format=text","2017",94.346,539,3,TRUE,0,0,0,0
"3","2017-07-13 19:55:00","2",1,332,"10.1038/nature14622",0.16,1.95,0.07,4.15,"Grid cells in the medial entorhinal cortex have spatial firing fields that repeat periodically in a hexagonal pattern. When animals move activity is translated between grid cells in accordance with the animal's displacement in the environment. For this translation to occur grid cells must have continuous access to information about instantaneous running speed. However a powerful entorhinal speed signal has not been identified. Here we show that running speed  is represented in the firing rate of a ubiquitous but functionally dedicated population of entorhinal neurons distinct from other cell populations of the local circuit such as grid head-direction and border cells. These 'speed cells' are characterized by a context-invariant positive linear response to running speed and share with grid cells a prospective bias of ∼50-80 ms. Our observations point to speed cells as a key component of the dynamic representation of self-location in the medial entorhinal cortex.","https://www.ncbi.nlm.nih.gov/pubmed/?term=10.1038%2Fnature14622&report=abstract&format=text","2015",262.016,976,4,TRUE,0,0,0,0
"4","2017-07-13 19:56:00","2",1,333,"10.1038/nature03721",3.5,2.73,4.66,3.57,"The ability to find one's way depends on neural algorithms that integrate information about place distance and direction but the implementation of these  operations in cortical microcircuits is poorly understood. Here we show that the  dorsocaudal medial entorhinal cortex (dMEC) contains a directionally oriented topographically organized neural map of the spatial environment. Its key unit is  the 'grid cell' which is activated whenever the animal's position coincides with any vertex of a regular grid of equilateral triangles spanning the surface of the environment. Grids of neighbouring cells share a common orientation and spacing  but their vertex locations (their phases) differ. The spacing and size of individual fields increase from dorsal to ventral dMEC. The map is anchored to external landmarks but persists in their absence suggesting that grid cells may be part of a generalized path-integration-based map of the spatial environment.","https://www.ncbi.nlm.nih.gov/pubmed/?term=10.1038%2Fnature03721&report=abstract&format=text","2005",197.3,952,0,FALSE,0,0,0,0
"5","2017-07-13 19:57:00","2",1,334,"10.1038/nn.3909",3.04,4.38,3.33,3.62,"Hippocampal information processing is discretized by oscillations and the ensemble activity of place cells is organized into temporal sequences bounded by  theta cycles. Theta sequences represent time-compressed trajectories through space. Their forward-directed nature makes them an intuitive candidate mechanism  for planning future trajectories but their connection to goal-directed behavior  remains unclear. As rats performed a value-guided decision-making task the extent to which theta sequences projected ahead of the animal's current location  varied on a moment-by-moment basis depending on the rat's goals. Look-ahead extended farther on journeys to distant goals than on journeys to more proximal goals and was predictive of the animal's destination. On arrival at goals however look-ahead was similar regardless of where the animal began its journey  from. Together these results provide evidence that hippocampal theta sequences contain information related to goals or intentions pointing toward a potential spatial basis for planning.","https://www.ncbi.nlm.nih.gov/pubmed/?term=10.1038%2Fnn.3909&report=abstract&format=text","2015",22.1,1049,0,FALSE,1,1,0,0
"6","2017-07-13 19:58:00","2",1,336,"10.1002/hipo.450030307",4.03,5,4.81,4.3,"Many complex spike cells in the hippocampus of the freely moving rat have as their primary correlate the animal's location in an environment (place cells). In contrast the hippocampal electroencephalograph theta pattern of rhythmical waves (7-12 Hz) is better correlated with a class of movements that change the rat's location in an environment. During movement through the place field the complex  spike cells often fire in a bursting pattern with an interburst frequency in the  same range as the concurrent electroencephalograph theta. The present study examined the phase of the theta wave at which the place cells fired. It was found that firing consistently began at a particular phase as the rat entered the field but then shifted in a systematic way during traversal of the field moving progressively forward on each theta cycle. This precession of the phase ranged from 100 degrees to 355 degrees in different cells. The effect appeared to be due to the fact that individual cells had a higher interburst rate than the theta frequency. The phase was highly correlated with spatial location and less well correlated with temporal aspects of behavior such as the time after place field  entry. These results have implications for several aspects of hippocampal function. First by using the phase relationship as well as the firing rate place cells can improve the accuracy of place coding. Second the characteristics of the phase shift constrain the models that define the construction of place fields. Third the results restrict the temporal and spatial circumstances under  which synapses in the hippocampus could be modified.","https://www.ncbi.nlm.nih.gov/pubmed/?term=10.1002%2Fhipo.450030307&report=abstract&format=text","1993",12.534,1636,9,TRUE,2,1,0,1
"7","2017-07-13 20:00:00","2",1,338,"10.1016/j.cell.2015.12.040",1.85,1.05,1.24,2.09,"The motivation to seek social contact may arise from either positive or negative  emotional states as social interaction can be rewarding and social isolation can be aversive. While ventral tegmental area (VTA) dopamine (DA) neurons may mediate social reward a cellular substrate for the negative affective state of loneliness has remained elusive. Here we identify a functional role for DA neurons in the dorsal raphe nucleus (DRN) in which we observe synaptic changes following acute social isolation. DRN DA neurons show increased activity upon social contact following isolation revealed by in vivo calcium imaging. Optogenetic activation of DRN DA neurons increases social preference but causes place avoidance. Furthermore these neurons are necessary for promoting rebound sociability following an acute period of isolation. Finally the degree to which  these neurons modulate behavior is predicted by social rank together supporting  a role for DRN dopamine neurons in mediating a loneliness-like state. PAPERCLIP.","https://www.ncbi.nlm.nih.gov/pubmed/?term=10.1016%2Fj.cell.2015.12.040&report=abstract&format=text","2016",423.95,1021,0,FALSE,0,1,2,0
"8","2017-07-13 20:04:00","2",1,340,"10.1038/nn.4110",0.76,0.66,1.71,3.39,"Cognitive inhibitory control the ability to rapidly suppress responses inappropriate for the context is essential for flexible and adaptive behavior. Although most studies on inhibitory control have focused on the fronto-basal-ganglia circuit we found that rapid behavioral stopping is enabled  by neuronal inhibition in the basal forebrain (BF). In rats performing the stop signal task putative noncholinergic BF neurons with phasic bursting responses to the go signal were nearly completely inhibited by the stop signal. The onset of BF neuronal inhibition was tightly coupled with and temporally preceded the latency to stop the stop signal reaction time. Artificial inhibition of BF activity in the absence of the stop signal was sufficient to reproduce rapid behavioral stopping. These results reveal a previously unknown subcortical mechanism of rapid inhibitory control by the BF which provides bidirectional control over the speed of response generation and inhibition.","https://www.ncbi.nlm.nih.gov/pubmed/?term=10.1038%2Fnn.4110&report=abstract&format=text","2015",124.722,977,0,FALSE,1,0,2,0
"9","2017-07-13 20:08:00","2",1,343,"10.1038/nature01834",4.22,2.84,3.9,3.39,"Neurons can produce action potentials with high temporal precision. A fundamental issue is whether and how this capability is used in information processing. According to the 'cell assembly' hypothesis transient synchrony of anatomically  distributed groups of neurons underlies processing of both external sensory input and internal cognitive mechanisms. Accordingly neuron populations should be arranged into groups whose synchrony exceeds that predicted by common modulation  by sensory input. Here we find that the spike times of hippocampal pyramidal cells can be predicted more accurately by using the spike times of simultaneously recorded neurons in addition to the animals location in space. This improvement remained when the spatial prediction was refined with a spatially dependent theta phase modulation. The time window in which spike times are best predicted from simultaneous peer activity is 10-30 ms suggesting that cell assemblies are synchronized at this timescale. Because this temporal window matches the membrane time constant of pyramidal neurons the period of the hippocampal gamma oscillation and the time window for synaptic plasticity we propose that cooperative activity at this timescale is optimal for information transmission and storage in cortical circuits.","https://www.ncbi.nlm.nih.gov/pubmed/?term=10.1038%2Fnature01834&report=abstract&format=text","2003",4,1291,4,TRUE,0,1,3,1
"10","2017-07-13 20:10:00","2",1,345,"10.1038/381520a0",4.68,5,5,1.95,"How long does it take for the human visual system to process a complex natural image? Subjectively recognition of familiar objects and scenes appears to be virtually instantaneous but measuring this processing time experimentally has proved difficult. Behavioural measures such as reaction times can be used but these include not only visual processing but also the time required for response  execution. However event-related potentials (ERPs) can sometimes reveal signs of neural processing well before the motor output. Here we use a go/no-go categorization task in which subjects have to decide whether a previously unseen  photograph flashed on for just 20 ms contains an animal. ERP analysis revealed  a frontal negativity specific to no-go trials that develops roughly 150 ms after  stimulus onset. We conclude that the visual processing needed to perform this highly demanding task can be achieved in under 150 ms.","https://www.ncbi.nlm.nih.gov/pubmed/?term=10.1038%2F381520a0&report=abstract&format=text","1996",12.2,922,8,TRUE,0,1,3,0
